Document Type,Document Date,Supplier Code,Document Number,Description,NC,VC,Net,VAT
,05/05/25,CHAINTAR,DEL/18/2025,Chain Supermarket Tarxien - Rent for Week 18 2025,7101,T6,2904.64,522.84
,12/05/25,CHAINTAR,DEL/19/2025,Chain Supermarket Tarxien - Rent for Week 19 2025,7101,T6,2911.50,524.07
,19/05/25,CHAINTAR,DEL/20/2025,Chain Supermarket Tarxien - Rent for Week 20 2025,7101,T6,2958.59,532.55
,26/05/25,CHAINTAR,DEL/21/2025,Chain Supermarket Tarxien - Rent for Week 21 2025,7101,T6,3040.39,547.27
,05/05/25,CHAINFGU,DEL/18/2025,Chain Supermarket Fgura - Rent for Week 18 2025,7102,T6,2406.45,433.16
,12/05/25,CHAINFGU,DEL/19/2025,Chain Supermarket Fgura - Rent for Week 19 2025,7102,T6,2406.88,433.24
,19/05/25,CHAINFGU,DEL/20/2025,Chain Supermarket Fgura - Rent for Week 20 2025,7102,T6,2436.60,438.59
,26/05/25,CHAINFGU,DEL/21/2025,Chain Supermarket Fgura - Rent for Week 21 2025,7102,T6,2389.41,430.09
,05/05/25,CHAINZAB,DEL/18/2025,Chain Supermarket Zabbar - Rent for Week 18 2025,7103,T6,896.31,161.34
,05/05/25,CHAINZAB,DEL/19/2025,Chain Supermarket Zabbar - Rent for Week 19 2025,7103,T6,969.67,174.54
,19/05/25,CHAINZAB,DEL/20/2025,Chain Supermarket Zabbar - Rent for Week 20 2025,7103,T6,962.25,173.20
,26/05/25,CHAINZAB,DEL/21/2025,Chain Supermarket Zabbar - Rent for Week 21 2025,7103,T6,957.39,172.33
